Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,20.750000,20.860001,20.299999,20.437500,19.928026,10495200
2019-04-16,20.400000,20.716200,20.200001,20.337500,20.196409,5982400
2019-04-17,20.445000,20.592501,19.815001,19.977501,19.838907,9846400
2019-04-18,20.097500,21.408800,20.043800,21.350000,21.201885,11004000
2019-04-22,21.238800,21.267500,20.763800,20.900000,20.755007,3480000
2019-04-23,21.001200,21.430000,21.000000,21.375000,21.226713,4169600
2019-04-24,21.333700,21.622499,21.062500,21.557501,21.407946,6500000
2019-04-25,21.377501,21.875000,21.257500,21.875000,21.723244,6195200
2019-04-26,22.000000,22.493700,21.917500,22.368700,22.213516,9252800
2019-04-29,22.375000,22.500000,22.160000,22.313700,22.158899,4112000
2019-04-30,22.950001,23.907499,22.875000,23.907499,23.741644,17158400
2019-05-02,23.596300,24.068800,23.487499,23.842501,23.677095,10839200
2019-05-03,23.875000,24.875000,23.875000,24.531200,24.361015,9619200
2019-05-06,24.375000,25.120001,24.253700,25.026300,24.852680,12308000
2019-05-07,25.187500,25.288700,23.910000,24.018700,23.852070,13714400
2019-05-08,24.012501,24.437500,24.012501,24.187500,24.019701,7266400
2019-05-09,24.107500,24.107500,23.237499,23.237499,23.076290,8647200
2019-05-10,23.378700,23.590000,22.632500,23.312500,23.150772,7074400
2019-05-13,23.062500,23.156200,22.500000,22.502501,22.346390,7481600
2019-05-14,22.876200,23.125000,22.250000,22.281200,22.126627,8171200
2019-05-15,22.030001,22.030001,21.462500,21.625000,21.474977,11907200
2019-05-16,21.525000,21.602501,20.846300,20.875000,20.730181,14228000
2019-05-17,20.633801,21.602501,20.633801,21.102501,20.956102,8486400
2019-05-20,21.247499,21.900000,21.151300,21.625000,21.474977,8236000
2019-05-21,21.985001,22.711300,21.951300,22.426300,22.270720,9324800
2019-05-22,22.625000,23.023800,22.250000,22.531200,22.374891,8910400
2019-05-23,22.212500,22.786200,21.889999,22.556200,22.399717,8334400
2019-05-24,22.811300,22.940001,22.000000,22.106300,21.952940,6477600
2019-05-27,22.625000,22.750000,22.250000,22.250000,22.095642,3925600
2019-05-28,22.537500,23.625000,22.516300,23.625000,23.461102,16532000
2019-05-29,23.787500,24.424999,23.388800,23.658800,23.494667,11330400
2019-05-30,23.750000,24.299999,23.702499,24.111200,23.943930,7245600
2019-05-31,24.000000,24.500000,23.956200,24.500000,24.330032,6778400
2019-06-03,24.625000,24.850000,24.188700,24.342501,24.173626,6673600
2019-06-04,24.750000,24.873800,24.000000,24.315001,24.146317,6555200
2019-06-05,24.500000,24.650000,23.503700,23.898800,23.733002,10168800
2019-06-06,24.250000,24.250000,23.512501,23.751200,23.586428,5515200
2019-06-07,23.846300,24.806200,23.816200,24.806200,24.634109,7880000
2019-06-10,24.816200,25.549999,24.562500,25.312500,25.136896,9398400
2019-06-11,25.500000,26.187500,25.456200,25.898800,25.719128,9048800
2019-06-12,25.750000,25.767500,25.125000,25.389999,25.213858,10652800
2019-06-13,25.750000,26.278700,25.686300,26.201300,26.019529,10310400
2019-06-14,26.123800,26.875000,25.674999,26.446301,26.262831,11859200
2019-06-17,26.512501,26.998800,25.852501,25.937500,25.757561,11027200
2019-06-18,26.325001,26.573700,25.878700,26.012501,25.832041,8856000
2019-06-19,25.875000,26.375000,25.636200,26.250000,26.067890,20810400
2019-06-21,26.375000,26.747499,26.358700,26.581200,26.396793,9934400
2019-06-24,26.520000,26.737499,26.077499,26.247499,26.065409,6773600
2019-06-25,26.125000,26.373800,25.812500,25.813700,25.634619,8350400
2019-06-26,26.000000,26.257500,25.875000,26.056200,25.875437,5710400
2019-06-27,26.036200,26.186300,25.683800,26.081200,25.900261,5954400
2019-06-28,26.174999,26.389999,25.923700,26.389999,26.206919,8115200
2019-07-01,26.500000,26.700001,26.146200,26.275000,26.092716,5714400
2019-07-02,26.343800,26.562500,26.125000,26.557501,26.373260,5688800
